    95 | base=0.499670 | val=1.209844 | acc1=0.6649 | Wμ=1.139 | Aμ=3.248 | Wmax=2.322 | LR=0.002 | ‖g‖=nan | satA=nan | satW=nan | εμ=nan | εvar=nan | corr(ε,x)=nan | t=nans
    97 | base=0.521490 | val=0.742284 | acc1=0.7714 | Wμ=1.119 | Aμ=3.136 | Wmax=2.322 | LR=0.002 | ‖g‖=nan | satA=nan | satW=nan | εμ=nan | εvar=nan | corr(ε,x)=nan | t=nans
    99 | base=0.507156 | val=1.089592 | acc1=0.7057 | Wμ=1.100 | Aμ=2.982 | Wmax=2.322 | LR=0.002 | ‖g‖=nan | satA=nan | satW=nan | εμ=nan | εvar=nan | corr(ε,x)=nan | t=nans
   101 | base=0.499884 | val=0.703748 | acc1=0.7757 | Wμ=1.083 | Aμ=2.877 | Wmax=2.000 | LR=0.002 | ‖g‖=nan | satA=nan | satW=nan | εμ=nan | εvar=nan | corr(ε,x)=nan | t=nans
   103 | base=0.496365 | val=1.035972 | acc1=0.7204 | Wμ=1.068 | Aμ=2.772 | Wmax=2.000 | LR=0.002 | ‖g‖=nan | satA=nan | satW=nan | εμ=nan | εvar=nan | corr(ε,x)=nan | t=nans
   105 | base=0.484009 | val=0.659138 | acc1=0.7816 | Wμ=1.054 | Aμ=2.653 | Wmax=2.000 | LR=0.002 | ‖g‖=nan | satA=nan | satW=nan | εμ=nan | εvar=nan | corr(ε,x)=nan | t=nans
   107 | base=0.548521 | val=0.632731 | acc1=0.8031 | Wμ=1.043 | Aμ=2.568 | Wmax=2.000 | LR=0.002 | ‖g‖=nan | satA=nan | satW=nan | εμ=nan | εvar=nan | corr(ε,x)=nan | t=nans
   109 | base=0.562935 | val=1.134465 | acc1=0.6959 | Wμ=1.036 | Aμ=2.488 | Wmax=2.000 | LR=0.002 | ‖g‖=nan | satA=nan | satW=nan | εμ=nan | εvar=nan | corr(ε,x)=nan | t=nans
   111 | base=0.504314 | val=1.190614 | acc1=0.6673 | Wμ=1.030 | Aμ=2.385 | Wmax=2.000 | LR=0.002 | ‖g‖=nan | satA=nan | satW=nan | εμ=nan | εvar=nan | corr(ε,x)=nan | t=nans
   113 | base=0.578296 | val=0.615360 | acc1=0.8175 | Wμ=1.024 | Aμ=2.262 | Wmax=1.585 | LR=0.002 | ‖g‖=nan | satA=nan | satW=nan | εμ=nan | εvar=nan | corr(ε,x)=nan | t=nans
   115 | base=0.710611 | val=0.927488 | acc1=0.7279 | Wμ=1.021 | Aμ=2.211 | Wmax=1.585 | LR=0.002 | ‖g‖=nan | satA=nan | satW=nan | εμ=nan | εvar=nan | corr(ε,x)=nan | t=nans
   117 | base=0.600768 | val=0.629463 | acc1=0.8064 | Wμ=1.017 | Aμ=2.168 | Wmax=1.585 | LR=0.002 | ‖g‖=nan | satA=nan | satW=nan | εμ=nan | εvar=nan | corr(ε,x)=nan | t=nans
   119 | base=0.649172 | val=0.691494 | acc1=0.7814 | Wμ=1.015 | Aμ=2.095 | Wmax=1.585 | LR=0.002 | ‖g‖=nan | satA=nan | satW=nan | εμ=nan | εvar=nan | corr(ε,x)=nan | t=nans
   121 | base=0.690441 | val=2.492886 | acc1=0.5026 | Wμ=1.011 | Aμ=1.968 | Wmax=1.585 | LR=0.002 | ‖g‖=nan | satA=nan | satW=nan | εμ=nan | εvar=nan | corr(ε,x)=nan | t=nans
   123 | base=0.701402 | val=0.632668 | acc1=0.7992 | Wμ=1.008 | Aμ=1.913 | Wmax=1.585 | LR=0.002 | ‖g‖=nan | satA=nan | satW=nan | εμ=nan | εvar=nan | corr(ε,x)=nan | t=nans
   125 | base=0.724054 | val=0.723461 | acc1=0.7723 | Wμ=1.006 | Aμ=1.846 | Wmax=1.585 | LR=0.002 | ‖g‖=nan | satA=nan | satW=nan | εμ=nan | εvar=nan | corr(ε,x)=nan | t=nans
   127 | base=0.686385 | val=0.773109 | acc1=0.7643 | Wμ=1.004 | Aμ=1.789 | Wmax=1.585 | LR=0.002 | ‖g‖=nan | satA=nan | satW=nan | εμ=nan | εvar=nan | corr(ε,x)=nan | t=nans
   129 | base=0.761341 | val=1.331133 | acc1=0.6398 | Wμ=1.002 | Aμ=1.759 | Wmax=1.585 | LR=0.002 | ‖g‖=nan | satA=nan | satW=nan | εμ=nan | εvar=nan | corr(ε,x)=nan | t=nans
   131 | base=0.841093 | val=0.764854 | acc1=0.7534 | Wμ=1.002 | Aμ=1.698 | Wmax=1.585 | LR=0.002 | ‖g‖=nan | satA=nan | satW=nan | εμ=nan | εvar=nan | corr(ε,x)=nan | t=nans
   133 | base=0.740060 | val=0.935294 | acc1=0.7306 | Wμ=1.000 | Aμ=1.650 | Wmax=1.585 | LR=0.002 | ‖g‖=nan | satA=nan | satW=nan | εμ=nan | εvar=nan | corr(ε,x)=nan | t=nans
   135 | base=0.824478 | val=0.977908 | acc1=0.6949 | Wμ=1.000 | Aμ=1.597 | Wmax=1.585 | LR=0.002 | ‖g‖=nan | satA=nan | satW=nan | εμ=nan | εvar=nan | corr(ε,x)=nan | t=nans
   137 | base=0.903412 | val=0.804686 | acc1=0.7451 | Wμ=0.998 | Aμ=1.522 | Wmax=1.585 | LR=0.002 | ‖g‖=nan | satA=nan | satW=nan | εμ=nan | εvar=nan | corr(ε,x)=nan | t=nans
   139 | base=0.964342 | val=0.668270 | acc1=0.7838 | Wμ=0.998 | Aμ=1.478 | Wmax=1.585 | LR=0.002 | ‖g‖=nan | satA=nan | satW=nan | εμ=nan | εvar=nan | corr(ε,x)=nan | t=nans
   141 | base=0.812083 | val=0.680618 | acc1=0.7766 | Wμ=0.996 | Aμ=1.462 | Wmax=1.000 | LR=0.002 | ‖g‖=nan | satA=nan | satW=nan | εμ=nan | εvar=nan | corr(ε,x)=nan | t=nans
   143 | base=0.891168 | val=1.329751 | acc1=0.5849 | Wμ=0.996 | Aμ=1.455 | Wmax=1.585 | LR=0.002 | ‖g‖=nan | satA=nan | satW=nan | εμ=nan | εvar=nan | corr(ε,x)=nan | t=nans
   145 | base=0.920763 | val=0.826648 | acc1=0.7443 | Wμ=0.996 | Aμ=1.442 | Wmax=1.585 | LR=0.002 | ‖g‖=nan | satA=nan | satW=nan | εμ=nan | εvar=nan | corr(ε,x)=nan | t=nans
