   119 | base=0.599982 | val=0.951457 | acc1=0.7300 | Wμ=1.024 | Aμ=2.229 | Wmax=2.000 | LR=0.002 | ‖g‖=nan | satA=nan | satW=nan | εμ=nan | εvar=nan | corr(ε,x)=nan | t=nans
   121 | base=0.633824 | val=0.705906 | acc1=0.7819 | Wμ=1.021 | Aμ=2.140 | Wmax=2.000 | LR=0.002 | ‖g‖=nan | satA=nan | satW=nan | εμ=nan | εvar=nan | corr(ε,x)=nan | t=nans
   123 | base=0.622026 | val=0.753717 | acc1=0.7809 | Wμ=1.018 | Aμ=2.045 | Wmax=2.000 | LR=0.002 | ‖g‖=nan | satA=nan | satW=nan | εμ=nan | εvar=nan | corr(ε,x)=nan | t=nans
   125 | base=0.659836 | val=0.736797 | acc1=0.7653 | Wμ=1.015 | Aμ=1.992 | Wmax=1.585 | LR=0.002 | ‖g‖=nan | satA=nan | satW=nan | εμ=nan | εvar=nan | corr(ε,x)=nan | t=nans
   127 | base=0.617000 | val=0.699014 | acc1=0.7826 | Wμ=1.012 | Aμ=1.948 | Wmax=1.585 | LR=0.002 | ‖g‖=nan | satA=nan | satW=nan | εμ=nan | εvar=nan | corr(ε,x)=nan | t=nans
   129 | base=0.738130 | val=0.755534 | acc1=0.7641 | Wμ=1.009 | Aμ=1.911 | Wmax=1.585 | LR=0.002 | ‖g‖=nan | satA=nan | satW=nan | εμ=nan | εvar=nan | corr(ε,x)=nan | t=nans
   131 | base=0.784517 | val=0.936602 | acc1=0.6955 | Wμ=1.007 | Aμ=1.855 | Wmax=1.585 | LR=0.002 | ‖g‖=nan | satA=nan | satW=nan | εμ=nan | εvar=nan | corr(ε,x)=nan | t=nans
   133 | base=0.800752 | val=0.873407 | acc1=0.7125 | Wμ=1.004 | Aμ=1.808 | Wmax=1.585 | LR=0.002 | ‖g‖=nan | satA=nan | satW=nan | εμ=nan | εvar=nan | corr(ε,x)=nan | t=nans
   135 | base=0.757344 | val=0.677224 | acc1=0.7806 | Wμ=1.003 | Aμ=1.753 | Wmax=1.585 | LR=0.002 | ‖g‖=nan | satA=nan | satW=nan | εμ=nan | εvar=nan | corr(ε,x)=nan | t=nans
   137 | base=0.741255 | val=1.063016 | acc1=0.6902 | Wμ=1.002 | Aμ=1.715 | Wmax=1.585 | LR=0.002 | ‖g‖=nan | satA=nan | satW=nan | εμ=nan | εvar=nan | corr(ε,x)=nan | t=nans
   139 | base=0.719432 | val=1.772568 | acc1=0.5264 | Wμ=1.002 | Aμ=1.648 | Wmax=1.585 | LR=0.002 | ‖g‖=nan | satA=nan | satW=nan | εμ=nan | εvar=nan | corr(ε,x)=nan | t=nans
   141 | base=0.953819 | val=1.446755 | acc1=0.5752 | Wμ=1.001 | Aμ=1.575 | Wmax=1.585 | LR=0.002 | ‖g‖=nan | satA=nan | satW=nan | εμ=nan | εvar=nan | corr(ε,x)=nan | t=nans
   143 | base=0.862690 | val=0.934997 | acc1=0.7282 | Wμ=1.000 | Aμ=1.538 | Wmax=1.585 | LR=0.002 | ‖g‖=nan | satA=nan | satW=nan | εμ=nan | εvar=nan | corr(ε,x)=nan | t=nans
   145 | base=0.876620 | val=0.746629 | acc1=0.7636 | Wμ=1.000 | Aμ=1.484 | Wmax=1.585 | LR=0.002 | ‖g‖=nan | satA=nan | satW=nan | εμ=nan | εvar=nan | corr(ε,x)=nan | t=nans
   147 | base=0.947290 | val=2.043318 | acc1=0.3308 | Wμ=0.998 | Aμ=1.460 | Wmax=1.585 | LR=0.002 | ‖g‖=nan | satA=nan | satW=nan | εμ=nan | εvar=nan | corr(ε,x)=nan | t=nans
   149 | base=0.914494 | val=0.778696 | acc1=0.7612 | Wμ=0.996 | Aμ=1.457 | Wmax=1.585 | LR=0.002 | ‖g‖=nan | satA=nan | satW=nan | εμ=nan | εvar=nan | corr(ε,x)=nan | t=nans
   151 | base=1.050711 | val=0.638614 | acc1=0.7828 | Wμ=0.995 | Aμ=1.457 | Wmax=1.585 | LR=0.002 | ‖g‖=nan | satA=nan | satW=nan | εμ=nan | εvar=nan | corr(ε,x)=nan | t=nans
   153 | base=0.842285 | val=0.681781 | acc1=0.7791 | Wμ=0.996 | Aμ=1.454 | Wmax=1.585 | LR=0.002 | ‖g‖=nan | satA=nan | satW=nan | εμ=nan | εvar=nan | corr(ε,x)=nan | t=nans
   155 | base=0.870409 | val=1.441870 | acc1=0.5785 | Wμ=0.995 | Aμ=1.452 | Wmax=1.585 | LR=0.002 | ‖g‖=nan | satA=nan | satW=nan | εμ=nan | εvar=nan | corr(ε,x)=nan | t=nans
   157 | base=0.908140 | val=0.825745 | acc1=0.7654 | Wμ=0.995 | Aμ=1.443 | Wmax=1.585 | LR=0.002 | ‖g‖=nan | satA=nan | satW=nan | εμ=nan | εvar=nan | corr(ε,x)=nan | t=nans
   159 | base=0.913024 | val=0.651110 | acc1=0.7821 | Wμ=0.994 | Aμ=1.422 | Wmax=1.000 | LR=0.002 | ‖g‖=nan | satA=nan | satW=nan | εμ=nan | εvar=nan | corr(ε,x)=nan | t=nans
   161 | base=0.896177 | val=1.107634 | acc1=0.6538 | Wμ=0.994 | Aμ=1.380 | Wmax=1.585 | LR=0.002 | ‖g‖=nan | satA=nan | satW=nan | εμ=nan | εvar=nan | corr(ε,x)=nan | t=nans
   163 | base=0.862134 | val=0.799273 | acc1=0.7458 | Wμ=0.994 | Aμ=1.357 | Wmax=1.585 | LR=0.002 | ‖g‖=nan | satA=nan | satW=nan | εμ=nan | εvar=nan | corr(ε,x)=nan | t=nans
   165 | base=0.936832 | val=0.709072 | acc1=0.7610 | Wμ=0.993 | Aμ=1.333 | Wmax=1.585 | LR=0.002 | ‖g‖=nan | satA=nan | satW=nan | εμ=nan | εvar=nan | corr(ε,x)=nan | t=nans
   167 | base=0.983191 | val=0.779717 | acc1=0.7433 | Wμ=0.993 | Aμ=1.313 | Wmax=1.000 | LR=0.002 | ‖g‖=nan | satA=nan | satW=nan | εμ=nan | εvar=nan | corr(ε,x)=nan | t=nans
   169 | base=1.057221 | val=0.743649 | acc1=0.7515 | Wμ=0.992 | Aμ=1.299 | Wmax=1.000 | LR=0.002 | ‖g‖=nan | satA=nan | satW=nan | εμ=nan | εvar=nan | corr(ε,x)=nan | t=nans
   171 | base=1.085338 | val=1.019887 | acc1=0.6420 | Wμ=0.991 | Aμ=1.281 | Wmax=1.000 | LR=0.002 | ‖g‖=nan | satA=nan | satW=nan | εμ=nan | εvar=nan | corr(ε,x)=nan | t=nans
   173 | base=0.949377 | val=0.883189 | acc1=0.7198 | Wμ=0.991 | Aμ=1.276 | Wmax=1.000 | LR=0.002 | ‖g‖=nan | satA=nan | satW=nan | εμ=nan | εvar=nan | corr(ε,x)=nan | t=nans
   175 | base=0.885507 | val=1.674603 | acc1=0.5467 | Wμ=0.991 | Aμ=1.270 | Wmax=1.000 | LR=0.002 | ‖g‖=nan | satA=nan | satW=nan | εμ=nan | εvar=nan | corr(ε,x)=nan | t=nans
   177 | base=0.917925 | val=0.718150 | acc1=0.7642 | Wμ=0.991 | Aμ=1.264 | Wmax=1.000 | LR=0.002 | ‖g‖=nan | satA=nan | satW=nan | εμ=nan | εvar=nan | corr(ε,x)=nan | t=nans
   179 | base=0.979147 | val=0.680916 | acc1=0.7772 | Wμ=0.991 | Aμ=1.250 | Wmax=1.000 | LR=0.002 | ‖g‖=nan | satA=nan | satW=nan | εμ=nan | εvar=nan | corr(ε,x)=nan | t=nans
   181 | base=1.052461 | val=0.786555 | acc1=0.7480 | Wμ=0.991 | Aμ=1.203 | Wmax=1.000 | LR=0.002 | ‖g‖=nan | satA=nan | satW=nan | εμ=nan | εvar=nan | corr(ε,x)=nan | t=nans
   183 | base=1.003980 | val=0.963560 | acc1=0.6833 | Wμ=0.991 | Aμ=1.148 | Wmax=1.000 | LR=0.002 | ‖g‖=nan | satA=nan | satW=nan | εμ=nan | εvar=nan | corr(ε,x)=nan | t=nans
   185 | base=1.023429 | val=0.847802 | acc1=0.7452 | Wμ=0.991 | Aμ=1.139 | Wmax=1.000 | LR=0.002 | ‖g‖=nan | satA=nan | satW=nan | εμ=nan | εvar=nan | corr(ε,x)=nan | t=nans
   187 | base=1.006511 | val=0.686724 | acc1=0.7735 | Wμ=0.990 | Aμ=1.134 | Wmax=1.000 | LR=0.002 | ‖g‖=nan | satA=nan | satW=nan | εμ=nan | εvar=nan | corr(ε,x)=nan | t=nans
   189 | base=1.107514 | val=0.685569 | acc1=0.7835 | Wμ=0.990 | Aμ=1.128 | Wmax=1.000 | LR=0.002 | ‖g‖=nan | satA=nan | satW=nan | εμ=nan | εvar=nan | corr(ε,x)=nan | t=nans
   191 | base=1.190861 | val=0.816725 | acc1=0.7443 | Wμ=0.990 | Aμ=1.124 | Wmax=1.000 | LR=0.002 | ‖g‖=nan | satA=nan | satW=nan | εμ=nan | εvar=nan | corr(ε,x)=nan | t=nans
   193 | base=1.034318 | val=0.909182 | acc1=0.7228 | Wμ=0.990 | Aμ=1.124 | Wmax=1.000 | LR=0.002 | ‖g‖=nan | satA=nan | satW=nan | εμ=nan | εvar=nan | corr(ε,x)=nan | t=nans
   195 | base=1.048401 | val=0.907319 | acc1=0.7399 | Wμ=0.990 | Aμ=1.124 | Wmax=1.000 | LR=0.002 | ‖g‖=nan | satA=nan | satW=nan | εμ=nan | εvar=nan | corr(ε,x)=nan | t=nans
   197 | base=1.266552 | val=1.512733 | acc1=0.5675 | Wμ=0.990 | Aμ=1.123 | Wmax=1.000 | LR=0.002 | ‖g‖=nan | satA=nan | satW=nan | εμ=nan | εvar=nan | corr(ε,x)=nan | t=nans
   199 | base=1.088613 | val=0.881318 | acc1=0.7107 | Wμ=0.990 | Aμ=1.124 | Wmax=1.000 | LR=0.002 | ‖g‖=nan | satA=nan | satW=nan | εμ=nan | εvar=nan | corr(ε,x)=nan | t=nans
   201 | base=1.220045 | val=0.814868 | acc1=0.7251 | Wμ=0.990 | Aμ=1.121 | Wmax=1.000 | LR=0.002 | ‖g‖=nan | satA=nan | satW=nan | εμ=nan | εvar=nan | corr(ε,x)=nan | t=nans
   203 | base=1.081010 | val=1.237175 | acc1=0.6216 | Wμ=0.990 | Aμ=1.118 | Wmax=1.000 | LR=0.002 | ‖g‖=nan | satA=nan | satW=nan | εμ=nan | εvar=nan | corr(ε,x)=nan | t=nans
   205 | base=1.019855 | val=0.861898 | acc1=0.7275 | Wμ=0.990 | Aμ=1.113 | Wmax=1.000 | LR=0.002 | ‖g‖=nan | satA=nan | satW=nan | εμ=nan | εvar=nan | corr(ε,x)=nan | t=nans
   207 | base=1.003616 | val=0.824290 | acc1=0.7505 | Wμ=0.991 | Aμ=1.103 | Wmax=1.000 | LR=0.002 | ‖g‖=nan | satA=nan | satW=nan | εμ=nan | εvar=nan | corr(ε,x)=nan | t=nans
   209 | base=1.064470 | val=0.712109 | acc1=0.7640 | Wμ=0.990 | Aμ=1.093 | Wmax=1.000 | LR=0.002 | ‖g‖=nan | satA=nan | satW=nan | εμ=nan | εvar=nan | corr(ε,x)=nan | t=nans
   211 | base=1.121629 | val=0.764797 | acc1=0.7506 | Wμ=0.990 | Aμ=1.087 | Wmax=1.000 | LR=0.002 | ‖g‖=nan | satA=nan | satW=nan | εμ=nan | εvar=nan | corr(ε,x)=nan | t=nans
   213 | base=1.136207 | val=0.924983 | acc1=0.7066 | Wμ=0.990 | Aμ=1.083 | Wmax=1.000 | LR=0.002 | ‖g‖=nan | satA=nan | satW=nan | εμ=nan | εvar=nan | corr(ε,x)=nan | t=nans
   215 | base=1.058583 | val=0.866855 | acc1=0.7188 | Wμ=0.990 | Aμ=1.076 | Wmax=1.000 | LR=0.002 | ‖g‖=nan | satA=nan | satW=nan | εμ=nan | εvar=nan | corr(ε,x)=nan | t=nans
   217 | base=1.048021 | val=0.983198 | acc1=0.6968 | Wμ=0.990 | Aμ=1.060 | Wmax=1.000 | LR=0.0017238 | ‖g‖=nan | satA=nan | satW=nan | εμ=nan | εvar=nan | corr(ε,x)=nan | t=nans
   219 | base=1.076650 | val=1.078529 | acc1=0.6481 | Wμ=0.990 | Aμ=1.051 | Wmax=1.000 | LR=0.0017212 | ‖g‖=nan | satA=nan | satW=nan | εμ=nan | εvar=nan | corr(ε,x)=nan | t=nans
